ranking,sport,Boulders
1,13 835,11 945
2,13 460,11 810
3,13 145,11 800
4,13 030,11 720
5,12 903,11 690
6,12 813,11 506
7,12 810,11 402
8,12 745,11 359
9,12 500,11 293
10,12 464,11 270
11,12 455,11 250
12,12 430,11 246
13,12 393,11 215
14,12 370,11 200
15,12 338,11 180
16,12 310,11 150
17,12 300,11 150
18,12 290,11 150
19,12 287,11 140
20,12 245,11 140
21,12 240,11 123
22,12 215,11 108
23,12 210,11 103
24,12 200,11 103
25,12 198,11 072
26,12 195,11 050
27,12 192,11 050
28,12 190,11 030
29,12 180,11 030
30,12 177,11 010
31,12 140,11 010
32,12 140,11 000
33,12 093,11 000
34,12 088,11 000
35,12 084,10 993
36,12 077,10 990
37,12 050,10 990
38,12 050,10 980
39,12 045,10 963
40,12 023,10 963
41,12 020,10 960
42,11 985,10 959
43,11 983,10 950
44,11 980,10 949
45,11 980,10 920
46,11 970,10 906
47,11 965,10 903
48,11 965,10 900
49,11 945,10 900
50,11 908,10 900
51,11 900,10 873
52,11 890,10 870
53,11 877,10 865
54,11 870,10 862
55,11 870,10 850
56,11 840,10 850
57,11 833,10 838
58,11 825,10 823
59,11 811,10 822
60,11 810,10 820
61,11 802,10 810
62,11 790,10 800
63,11 785,10 800
64,11 750,10 770
65,11 743,10 770
66,11 740,10 759
67,11 740,10 753
68,11 730,10 750
69,11 725,10 750
70,11 720,10 740
71,11 720,10 720
72,11 703,10 720
73,11 700,10 711
74,11 700,10 700
75,11 700,10 700
76,11 695,10 700
77,11 682,10 670
78,11 680,10 656
79,11 675,10 653
80,11 665,10 653
81,11 652,10 653
82,11 643,10 650
83,11 643,10 627
84,11 640,10 623
85,11 635,10 620
86,11 635,10 620
87,11 633,10 620
88,11 610,10 610
89,11 603,10 609
90,11 595,10 600
91,11 595,10 600
92,11 592,10 593
93,11 578,10 590
94,11 573,10 573
95,11 573,10 570
96,11 567,10 563
97,11 555,10 553
98,11 550,10 550
99,11 534,10 550
100,11 533,10 548
101,11 520,10 543
102,11 520,10 542
103,11 508,10 530
104,11 508,10 512
105,11 505,10 510
106,11 504,10 500
107,11 501,10 490
108,11 493,10 470
109,11 492,10 453
110,11 480,10 450
111,11 478,10 450
112,11 475,10 420
113,11 460,10 420
114,11 460,10 407
115,11 450,10 406
116,11 445,10 400
117,11 435,10 400
118,11 430,10 400
119,11 425,10 400
120,11 420,10 400
121,11 415,10 400
122,11 415,10 400
123,11 410,10 379
124,11 406,10 372
125,11 400,10 370
126,11 398,10 360
127,11 396,10 359
128,11 391,10 359
129,11 390,10 359
130,11 375,10 357
131,11 370,10 356
132,11 360,10 353
133,11 357,10 353
134,11 355,10 353
135,11 354,10 350
136,11 350,10 350
137,11 345,10 342
138,11 340,10 333
139,11 336,10 329
140,11 325,10 320
141,11 323,10 320
142,11 322,10 306
143,11 322,10 303
144,11 312,10 302
145,11 305,10 300
146,11 302,10 300
147,11 302,10 300
148,11 300,10 290
149,11 297,10 280
150,11 297,10 272
151,11 290,10 270
152,11 287,10 270
153,11 284,10 270
154,11 283,10 259
155,11 280,10 259
156,11 280,10 256
157,11 267,10 256
